transaction_id,customer_id,flavour_id,quantity_liters,transaction_date,transaction_country,transaction_town,postal_code,amount_dollar,generation_date,batch_number
15747,19,100,84000,12/24/24,CHINA,Guangzhou,CVO5J3,669000,5/5/24,1
15748,4,443,62000,1/1/24,JAPAN,Osaka,NT6OBZ,1801000,5/5/24,1
15749,33,214,36000,1/7/25,CANADA,Vancouver,1J0G7X,54000,5/5/24,1
15750,3,34,98000,10/22/24,BRAZIL,Rio de Janeiro,KB719S,465000,5/5/24,1
15751,56,355,11000,11/13/23,INDIA,Chennai,AP8484,1549000,5/5/24,1
15752,62,329,43000,2/3/24,ISRAEL,Beer Sheva,2JSM3H,661000,5/5/24,1
15753,60,1,57000,11/1/24,BRAZIL,Rio de Janeiro,MGA8QO,809000,5/5/24,1
15754,63,453,26000,3/7/23,JAPAN,Tokyo,7E9VQU,1140000,5/5/24,1
15755,18,288,50000,5/17/24,BRAZIL,Belém,6HZ9Q3,1327000,5/5/24,1
15756,40,147,37000,3/24/24,FRANCE,Nice,SB9L86,198000,5/5/24,1
15757,23,480,8000,6/26/24,SPAIN,Granada,BECXVJ,1067000,5/5/24,1
15758,65,356,23000,6/17/24,SPAIN,Málaga,51P6AI,439000,5/5/24,1
15759,26,160,21000,1/17/24,FRANCE,Bordeaux,QCI7F3,69000,5/5/24,1
15760,45,285,70000,7/21/24,FRANCE,Lyon,TZ5GRZ,264000,5/5/24,1
15761,18,322,86000,8/31/24,JAPAN,Osaka,62QQ6P,491000,5/5/24,1
15762,39,375,88000,11/12/24,FRANCE,Nice,XXDSOM,43000,5/5/24,1
15763,49,379,2000,5/7/23,FRANCE,Strasbourg,POVE5Z,286000,5/5/24,1
15764,8,60,30000,5/11/23,CHINA,Nanjing,GN4YMV,1729000,5/5/24,1
15765,16,56,79000,1/2/25,FRANCE,Nice,2O76UT,1076000,5/5/24,1
15766,23,425,53000,6/9/24,CANADA,Ottawa,RLRO1G,745000,5/5/24,1
15767,9,326,99000,11/22/23,FRANCE,Lyon,1ULJBF,528000,5/5/24,1
15768,11,175,35000,4/19/24,SPAIN,Madrid,BFOIOI,815000,5/5/24,1
15769,52,466,75000,9/25/24,SPAIN,Madrid,SMT02S,664000,5/5/24,1
15770,52,90,74000,12/31/24,GERMANY,Hamburg,YDM8JH,1782000,5/5/24,1
15771,66,304,43000,12/12/24,JAPAN,Osaka,DUCHUN,188000,5/5/24,1
15772,45,438,24000,9/25/23,CANADA,Toronto,AFB4ZF,236000,5/5/24,1
15773,64,402,42000,4/29/23,INDIA,Chennai,VFQP1D,1974000,5/5/24,1
15774,19,218,8000,5/27/23,ISRAEL,Ramat Gan,S3SKP0,705000,5/5/24,1
15775,37,311,20000,12/1/23,ISRAEL,Petah Tikva,9MZ27U,348000,5/5/24,1
15776,63,359,92000,10/22/24,BRAZIL,Brasília,SI66B0,412000,5/5/24,1
15777,50,474,2000,7/19/23,ISRAEL,Petah Tikva,JAHUSZ,1719000,5/5/24,1
15778,45,313,56000,9/4/24,INDIA,Delhi,LHKREK,546000,5/5/24,1
15779,9,204,13000,6/22/24,CHINA,Chengdu,616H8N,406000,5/6/24,2
15780,40,228,3000,12/27/23,FRANCE,Paris,7GV2A7,1356000,5/5/24,1
15781,63,345,80000,6/27/24,FRANCE,Paris,K8GBEK,1739000,5/5/24,1
15782,48,477,5000,7/16/24,GERMANY,Cologne,NC6EH7,1260000,5/5/24,1
15783,41,347,80000,11/25/23,SPAIN,Madrid,MN8T3E,425000,5/5/24,1
15784,60,57,90000,2/18/24,INDIA,Mumbai,AMZS4O,835000,5/5/24,1
15785,7,382,46000,12/16/23,CHINA,Shanghai,0ZK1QP,1280000,5/5/24,1
15786,27,231,98000,10/6/24,CHINA,Beijing,M1VGRU,26000,5/5/24,1
15787,52,277,60000,7/2/23,INDIA,Bangalore,7P7BH3,1581000,5/5/24,1
15788,57,219,78000,9/1/24,GERMANY,Frankfurt,OAD26M,1027000,5/5/24,1
15789,15,257,80000,10/21/23,CHINA,Chengdu,B3SA6Y,1578000,5/5/24,1
15790,53,487,30000,2/17/24,BRAZIL,São Paulo,XTU2VY,452000,5/5/24,1
15791,27,132,11000,1/14/25,INDIA,Delhi,36HA83,1414000,5/5/24,1
15792,41,446,20000,1/13/24,JAPAN,Fukuoka,3S2VB3,648000,5/5/24,1
15793,49,397,22000,8/24/24,FRANCE,Marseille,HD8L69,649000,5/5/24,1
15794,24,460,2000,1/18/24,CHINA,Nanjing,2B60LM,1882000,5/5/24,1
15795,39,251,75000,2/4/24,FRANCE,Lyon,KNUR8P,0,5/5/24,1
15796,48,20,12000,1/13/25,SPAIN,Barcelona,1T4G41,470000,5/5/24,1
15797,37,389,74000,11/18/23,CANADA,Montreal,CGLP4Z,521000,5/5/24,1
15798,74,2,6000,5/13/24,CANADA,Calgary,JL3CXP,678000,5/5/24,1
15799,48,60,79000,11/26/23,GERMANY,Hamburg,S9HMVQ,435000,5/5/24,1
15800,43,40,77000,11/28/24,JAPAN,Sapporo,IGE9CF,637000,5/5/24,1
15801,21,300,17000,7/15/24,INDIA,Hyderabad,GB538B,204000,5/5/24,1
15802,33,436,37000,5/14/24,FRANCE,Paris,8S4LM5,1276000,5/5/24,1
15803,51,49,82000,5/18/23,CHINA,Guangzhou,AYARQ0,207000,5/5/24,1
15804,49,361,78000,2/27/24,CHINA,Nanjing,LDMEU7,1608000,5/5/24,1
15805,24,198,14000,4/3/23,GERMANY,Berlin,V24MPL,993000,5/5/24,1
15806,65,111,16000,4/19/23,JAPAN,Tokyo,BY1QXB,300000,5/5/24,1
15807,6,296,52000,12/25/23,BRAZIL,Brasília,4CET6L,1471000,5/5/24,1
15808,16,201,93000,3/20/23,SPAIN,Málaga,X9X5Z1,1080000,5/5/24,1
15809,9,317,88000,9/11/23,JAPAN,Fukuoka,OAFJ37,287000,5/5/24,1
15810,27,314,45000,7/30/23,SPAIN,Seville,GTJ4XH,1837000,5/6/24,2
15811,53,84,51000,10/2/24,JAPAN,Osaka,QG26HS,249000,5/5/24,1
15812,25,311,79000,5/17/23,JAPAN,Kyoto,C4CK4S,1099000,5/5/24,1
15813,21,397,39000,10/31/23,CHINA,Beijing,KIX1YT,217000,5/5/24,1
15814,22,160,71000,10/21/24,INDIA,Kolkata,0D3V8X,802000,5/5/24,1
15815,56,354,63000,8/21/23,CANADA,Edmonton,AEGGSU,123000,5/5/24,1
15816,75,394,72000,8/27/24,INDIA,Mumbai,YVYX39,1818000,5/5/24,1
15817,45,188,49000,9/28/23,JAPAN,Sapporo,FZ4MBF,1770000,5/5/24,1
15818,67,69,79000,6/24/23,CHINA,Shanghai,RFTV21,375000,5/5/24,1
15819,68,129,27000,7/23/23,JAPAN,Kyoto,HEEVTH,429000,5/5/24,1
15820,74,156,50000,1/11/24,GERMANY,Düsseldorf,1HY773,1493000,5/5/24,1
15821,24,240,35000,4/12/23,ISRAEL,Tel Aviv,GCUDVZ,120000,5/5/24,1
15822,42,366,75000,4/22/24,CANADA,Calgary,PSAZQK,1444000,5/6/24,2
15823,31,183,45000,9/23/24,CANADA,Vancouver,4THHDR,724000,5/5/24,1
15824,26,45,21000,9/7/24,JAPAN,Sapporo,PPZ1F9,1160000,5/5/24,1
15825,61,237,44000,4/4/24,ISRAEL,Jerusalem,T9D6SU,435000,5/5/24,1
15826,63,473,38000,2/2/24,ISRAEL,Petah Tikva,S0RZ3E,247000,5/5/24,1
15827,57,446,57000,8/20/23,CHINA,Chengdu,M6N3M4,652000,5/5/24,1
15828,44,166,6000,4/6/24,FRANCE,Paris,336LPV,1368000,5/5/24,1
15829,31,76,12000,12/7/23,GERMANY,Berlin,EHVJGF,1126000,5/5/24,1
15830,27,339,56000,1/11/24,JAPAN,Fukuoka,MSGHQ9,1693000,5/5/24,1
15831,4,64,88000,10/29/23,ISRAEL,Petah Tikva,Y5AX61,203000,5/6/24,2
15832,15,483,31000,3/15/23,JAPAN,Osaka,F75U0N,1701000,5/5/24,1
15833,56,359,30000,5/16/23,INDIA,Kolkata,CU3LGY,452000,5/5/24,1
15834,23,203,97000,9/26/24,GERMANY,Berlin,79DJXA,696000,5/5/24,1
15835,39,145,57000,3/23/24,SPAIN,Málaga,2RE38E,1636000,5/5/24,1
15836,31,478,68000,4/21/23,CANADA,Toronto,5844D1,680000,5/5/24,1
15837,1,299,93000,4/18/23,FRANCE,Marseille,EQRCZO,1371000,5/5/24,1
15838,41,48,33000,11/4/24,ISRAEL,Tel Aviv,9FMXVT,1353000,5/5/24,1
15839,34,412,33000,4/26/24,SPAIN,Seville,E31H8H,400000,5/5/24,1
15840,13,46,90000,6/17/24,JAPAN,Tokyo,I5QAUU,676000,5/5/24,1
15841,9,269,48000,6/10/23,GERMANY,Hamburg,LGAS98,691000,5/5/24,1
15842,61,239,64000,10/29/24,JAPAN,Sapporo,VSSCQG,1814000,5/5/24,1
15843,38,270,37000,8/28/23,CANADA,Edmonton,ZZQS17,421000,5/5/24,1
15844,49,253,10000,5/23/24,ISRAEL,Tel Aviv,627JFE,184000,5/5/24,1
15845,32,234,8000,9/7/23,GERMANY,Düsseldorf,L36VFD,334000,5/5/24,1
15846,60,47,98000,8/29/24,CANADA,Vancouver,IMN78I,1538000,5/5/24,1
15847,45,76,30000,7/26/24,BRAZIL,Fortaleza,7ZLI07,1986000,5/5/24,1
15848,2,42,54000,4/22/24,FRANCE,Strasbourg,GJ6ACS,1818000,5/5/24,1
15849,4,8,63000,6/21/24,GERMANY,Cologne,R8KES5,1687000,5/5/24,1
15850,70,124,70000,11/8/23,INDIA,Hyderabad,XUXE1L,1819000,5/5/24,1
15851,30,12,42000,6/11/24,CANADA,Ottawa,BLEJ8S,1871000,5/5/24,1
15852,44,112,25000,12/18/24,CANADA,Calgary,T1T9H5,1676000,5/5/24,1
15853,24,131,57000,1/9/25,INDIA,Hyderabad,FTC03D,1990000,5/5/24,1
15854,61,137,61000,7/30/23,CANADA,Montreal,P26X6U,1062000,5/5/24,1
15855,11,365,76000,3/12/23,INDIA,Hyderabad,ENDVXJ,576000,5/5/24,1
15856,55,419,6000,9/25/23,JAPAN,Nagoya,IBVZ12,1913000,5/5/24,1
15857,9,30,74000,6/9/23,SPAIN,Granada,ZPVAO8,105000,5/5/24,1
15858,64,471,87000,12/4/24,BRAZIL,Porto Alegre,5PFVRT,356000,5/5/24,1
15859,50,184,55000,10/31/23,BRAZIL,Belém,653TA0,1825000,5/5/24,1
15860,23,115,68000,9/28/24,SPAIN,Valencia,EGTXJ3,1159000,5/5/24,1
15861,30,483,77000,12/14/24,BRAZIL,São Paulo,74CIIH,907000,5/5/24,1
15862,62,400,88000,7/18/23,ISRAEL,Ramat Gan,83145A,1919000,5/5/24,1
15863,45,348,73000,2/26/24,INDIA,Delhi,OO90OB,954000,5/5/24,1
15864,25,144,5000,11/1/24,JAPAN,Nagoya,KA0IMX,405000,5/5/24,1
15865,31,299,17000,12/30/23,CHINA,Beijing,MMTT7Q,1983000,5/6/24,2
15866,58,325,58000,2/26/23,INDIA,Hyderabad,LF4F1D,1259000,5/5/24,1
15867,6,284,4000,3/14/24,CANADA,Toronto,TTSSJF,1899000,5/5/24,1
15868,11,341,85000,12/8/24,CANADA,Ottawa,NR8KVS,444000,5/5/24,1
15869,14,353,30000,11/6/23,FRANCE,Nice,C9UGKA,436000,5/5/24,1
15870,17,365,56000,5/1/23,CANADA,Toronto,CRJ2FB,1304000,5/5/24,1
15871,20,8,15000,6/16/24,FRANCE,Nice,JAAX0U,1343000,5/5/24,1
15872,14,304,63000,1/25/24,SPAIN,Madrid,ZTT9A0,561000,5/5/24,1
15873,48,482,95000,3/27/23,BRAZIL,Fortaleza,2KKP2L,1218000,5/5/24,1
15874,36,240,36000,9/11/24,ISRAEL,Petah Tikva,ZN49E4,93000,5/5/24,1
15875,22,256,28000,6/9/24,JAPAN,Fukuoka,SR2S4C,1643000,5/5/24,1
15876,61,68,2000,10/31/24,JAPAN,Tokyo,ETYABE,1121000,5/5/24,1
15877,47,444,72000,10/17/23,BRAZIL,Belém,PHMCHZ,602000,5/5/24,1
15878,48,454,14000,9/27/23,ISRAEL,Ramat Gan,SKAIHQ,990000,5/5/24,1
15879,46,397,65000,9/10/23,GERMANY,Cologne,ASR69F,1823000,5/5/24,1
15880,3,188,20000,10/10/23,SPAIN,Málaga,75O0C1,1218000,5/5/24,1
15881,60,429,83000,6/13/24,CANADA,Toronto,T1YTHI,1544000,5/5/24,1
15882,14,446,10000,12/29/23,GERMANY,Munich,1MG0OZ,197000,5/5/24,1
15883,18,171,42000,10/29/24,FRANCE,Nice,Q8SUPC,947000,5/5/24,1
15884,38,314,20000,2/10/24,JAPAN,Osaka,48Z20Z,1975000,5/5/24,1
15885,27,12,82000,5/31/24,CANADA,Edmonton,XRR9LG,547000,5/5/24,1
15886,21,144,77000,12/14/24,JAPAN,Nagoya,F9R9VP,587000,5/5/24,1
15887,64,454,56000,5/2/23,CANADA,Ottawa,YZPP2I,1129000,5/5/24,1
15888,10,66,6000,11/4/23,CANADA,Toronto,YDQ6A0,1914000,5/5/24,1
15889,56,499,82000,12/27/24,CANADA,Edmonton,C7MUJ3,1946000,5/5/24,1
15890,5,268,50000,5/30/23,SPAIN,Barcelona,YAYOZU,719000,5/5/24,1
15891,6,293,3000,11/20/23,INDIA,Mumbai,J0E4U2,800000,5/5/24,1
15892,67,193,89000,12/25/24,INDIA,Mumbai,JHOH6A,1634000,5/5/24,1
15893,58,384,44000,9/26/23,JAPAN,Fukuoka,0F4GF5,1783000,5/5/24,1
15894,27,337,89000,11/20/23,FRANCE,Paris,LPAEZ5,299000,5/5/24,1
15895,60,71,95000,12/24/23,ISRAEL,Beer Sheva,E41V17,797000,5/5/24,1
15896,51,435,78000,6/22/23,INDIA,Kolkata,JPIOP4,1181000,5/5/24,1
15897,63,196,54000,3/13/24,JAPAN,Tokyo,TORUAE,1598000,5/5/24,1
15898,13,51,82000,7/27/24,INDIA,Bangalore,Z1NGSQ,1141000,5/5/24,1
15899,61,66,56000,11/29/23,GERMANY,Berlin,D3CTSA,1011000,5/5/24,1
15900,16,438,2000,12/26/24,CANADA,Montreal,UZ762A,1110000,5/5/24,1
15901,46,220,89000,3/26/23,SPAIN,Málaga,LSIHCM,814000,5/5/24,1
15902,3,66,57000,2/4/24,CANADA,Vancouver,G32B7Z,698000,5/5/24,1
15903,10,490,89000,6/5/23,JAPAN,Kyoto,2V6CPO,491000,5/5/24,1
15904,6,201,79000,11/21/24,CANADA,Toronto,A1TNUK,991000,5/5/24,1
15905,26,17,40000,6/13/24,INDIA,Chennai,8KVB10,1949000,5/5/24,1
15906,70,130,29000,3/3/23,INDIA,Hyderabad,NF39KA,1252000,5/5/24,1
15907,29,453,99000,5/10/24,INDIA,Delhi,FB5LTV,587000,5/5/24,1
15908,24,6,1000,7/2/24,CANADA,Montreal,NYN4KC,1574000,5/5/24,1
15909,12,288,50000,10/14/23,FRANCE,Strasbourg,5U8DQ0,1198000,5/5/24,1
15910,15,337,92000,5/3/23,FRANCE,Strasbourg,O32LJX,579000,5/5/24,1
15911,63,466,38000,9/10/23,CANADA,Montreal,RZU4E6,833000,5/5/24,1
15912,20,8,49000,10/24/23,GERMANY,Munich,DMET2D,1763000,5/5/24,1
15913,50,318,30000,1/8/24,SPAIN,Málaga,9E393R,1421000,5/5/24,1
15914,66,193,84000,9/15/23,CHINA,Shanghai,G8H4NA,1350000,5/5/24,1
15915,56,400,51000,10/5/24,JAPAN,Osaka,59PAN9,1656000,5/5/24,1
15916,31,459,27000,11/20/24,FRANCE,Marseille,QC54BB,598000,5/5/24,1
15917,70,5,29000,3/30/24,SPAIN,Seville,O8POUO,736000,5/5/24,1
15918,7,243,31000,10/21/24,CHINA,Beijing,JKYE9Z,1570000,5/5/24,1
15919,64,26,97000,11/17/23,BRAZIL,Porto Alegre,DZC0VF,1984000,5/5/24,1
15920,8,380,46000,11/13/23,CANADA,Ottawa,XV35X6,60000,5/5/24,1
15921,75,55,69000,1/4/25,CHINA,Nanjing,G4UEAJ,855000,5/5/24,1
15922,37,285,6000,9/13/24,JAPAN,Tokyo,30MJ12,168000,5/5/24,1
15923,34,386,34000,10/18/24,FRANCE,Nice,2VGUJ4,1528000,5/5/24,1
15924,60,394,82000,7/3/24,JAPAN,Tokyo,CQLQ43,362000,5/5/24,1
15925,4,98,6000,11/28/24,ISRAEL,Petah Tikva,N87J1D,267000,5/5/24,1
15926,3,122,4000,2/25/24,JAPAN,Kyoto,5Y5BNI,818000,5/6/24,2
15927,26,117,21000,4/28/23,GERMANY,Berlin,ITB63S,1511000,5/5/24,1
15928,18,144,59000,5/11/23,ISRAEL,Petah Tikva,GJQ9NZ,958000,5/5/24,1
15929,72,375,7000,1/20/24,INDIA,Kolkata,PSJZO0,1121000,5/5/24,1
15930,17,438,30000,10/15/24,INDIA,Mumbai,M9PUGA,1845000,5/5/24,1
15931,73,283,69000,12/3/24,CHINA,Shanghai,HLYMSJ,429000,5/5/24,1
15932,52,189,83000,6/8/24,FRANCE,Lyon,KICO5R,1108000,5/5/24,1
15933,9,132,84000,8/16/24,GERMANY,Cologne,L24CHL,407000,5/5/24,1
15934,63,35,55000,8/21/23,CHINA,Shenzhen,VAEQVT,159000,5/5/24,1
15935,48,416,76000,3/27/23,JAPAN,Osaka,MBKDNK,1045000,5/5/24,1
15936,7,104,67000,10/5/24,INDIA,Bangalore,HVMI7Q,1037000,5/5/24,1
15937,61,184,52000,3/16/23,GERMANY,Düsseldorf,LQTTS6,1556000,5/5/24,1
15938,10,419,1000,9/11/24,JAPAN,Nagoya,QJRHFE,1832000,5/5/24,1
15939,73,177,11000,1/5/24,CANADA,Ottawa,NNKLO5,836000,5/5/24,1
15940,8,454,31000,7/27/23,JAPAN,Tokyo,3EHPKR,1544000,5/5/24,1
15941,49,224,11000,9/4/23,GERMANY,Cologne,5SDU37,1226000,5/5/24,1
15942,35,436,44000,5/9/24,CHINA,Shenzhen,6I8CE7,900000,5/5/24,1
15943,43,277,98000,3/4/24,SPAIN,Granada,LSJ8L1,1562000,5/5/24,1
15944,74,467,46000,8/30/24,CANADA,Montreal,JTBA18,876000,5/5/24,1
15945,27,17,20000,12/20/23,INDIA,Mumbai,7B7LMD,230000,5/5/24,1
15946,51,315,88000,3/4/23,ISRAEL,Beer Sheva,LTB4XP,766000,5/5/24,1
15947,3,473,88000,4/22/23,INDIA,Hyderabad,3D2Q6E,494000,5/5/24,1
15948,63,309,10000,6/2/24,JAPAN,Tokyo,NSRP7F,1275000,5/5/24,1
15949,16,452,55000,8/1/24,INDIA,Mumbai,JBXKO7,1757000,5/5/24,1
15950,44,267,18000,8/15/24,JAPAN,Kyoto,CT3KB3,1036000,5/5/24,1
15951,51,297,58000,5/16/23,GERMANY,Cologne,2M43BU,1893000,5/5/24,1
15952,46,228,90000,2/16/24,INDIA,Hyderabad,0XEYP5,1279000,5/5/24,1
15953,33,419,66000,5/25/23,CHINA,Nanjing,YMCD13,1471000,5/5/24,1
15954,66,319,8000,9/8/24,FRANCE,Bordeaux,YVO0FB,496000,5/5/24,1
15955,73,409,95000,9/15/24,CHINA,Chengdu,A5LCXT,1338000,5/5/24,1
15956,10,405,46000,5/5/24,ISRAEL,Haifa,F2K5LX,1150000,5/5/24,1
15957,24,33,66000,10/9/24,CANADA,Toronto,X26P14,247000,5/5/24,1
15958,51,204,56000,4/15/23,SPAIN,Madrid,CCR3KI,692000,5/5/24,1
15959,11,338,5000,1/11/25,CANADA,Ottawa,NPS02I,358000,5/5/24,1
15960,67,248,4000,8/29/24,FRANCE,Marseille,BBG5UI,760000,5/5/24,1
15961,32,406,66000,9/30/24,JAPAN,Fukuoka,2AV1AN,1239000,5/5/24,1
15962,21,221,61000,9/24/24,CHINA,Chengdu,QGC7XP,1836000,5/5/24,1
15963,49,59,63000,8/9/23,CANADA,Toronto,YDNCVK,216000,5/5/24,1
15964,16,390,3000,7/20/23,GERMANY,Frankfurt,H4U019,1495000,5/5/24,1
15965,39,321,89000,5/17/23,GERMANY,Düsseldorf,8UL641,575000,5/5/24,1
15966,45,365,91000,7/3/24,BRAZIL,Porto Alegre,ZXR5X1,1110000,5/5/24,1
15967,15,469,95000,3/14/23,FRANCE,Nice,0S9BOQ,1964000,5/5/24,1
15968,69,212,95000,10/6/23,FRANCE,Strasbourg,DOXMDJ,716000,5/5/24,1
15969,10,193,34000,12/10/24,GERMANY,Frankfurt,V7R9IC,422000,5/5/24,1
15970,46,217,17000,5/24/23,CANADA,Vancouver,L8DFNZ,1084000,5/5/24,1
15971,21,396,44000,3/15/24,SPAIN,Valencia,XXU3V2,519000,5/5/24,1
15972,61,19,73000,5/2/24,INDIA,Kolkata,25J1MY,1223000,5/5/24,1
15973,64,74,87000,10/29/24,INDIA,Chennai,60Q22F,893000,5/5/24,1
15974,25,332,57000,7/7/24,BRAZIL,Belém,CDQ4IR,1183000,5/5/24,1
15975,31,320,20000,5/18/24,INDIA,Chennai,P4ELT0,55000,5/5/24,1
15976,73,399,42000,9/13/23,ISRAEL,Jerusalem,CU37HF,430000,5/5/24,1
15977,23,293,20000,1/3/24,FRANCE,Nice,CNL8YY,2000,5/5/24,1
15978,46,298,73000,8/17/24,GERMANY,Hamburg,XYFT4J,252000,5/6/24,2
15979,37,401,46000,12/10/23,CHINA,Chengdu,IHURMK,439000,5/5/24,1
15980,6,153,56000,7/23/24,GERMANY,Berlin,URXV6O,1860000,5/5/24,1
15981,12,324,59000,4/27/23,SPAIN,Granada,BQUS5M,1113000,5/5/24,1
15982,36,214,71000,8/15/24,INDIA,Hyderabad,M40HBG,185000,5/5/24,1
15983,32,468,83000,5/18/23,BRAZIL,São Paulo,TLCR8Q,439000,5/5/24,1
15984,11,98,53000,4/1/23,SPAIN,Málaga,DEBVEI,754000,5/5/24,1
15985,26,104,38000,6/18/23,SPAIN,Granada,TQGLSL,579000,5/5/24,1
15986,3,97,20000,12/31/24,GERMANY,Munich,IGLGZP,471000,5/5/24,1
15987,35,480,44000,9/3/24,ISRAEL,Tel Aviv,HI5T69,1382000,5/5/24,1
15988,25,498,90000,2/21/24,CANADA,Edmonton,TR8SON,591000,5/5/24,1
15989,2,358,45000,4/4/24,CANADA,Calgary,UPS485,1610000,5/5/24,1
15990,20,313,23000,7/26/23,CANADA,Montreal,J2NE0H,1472000,5/6/24,2
15991,59,210,60000,6/24/24,CHINA,Shenzhen,FN2B6T,939000,5/5/24,1
15992,33,393,36000,2/3/24,GERMANY,Berlin,LJL0K2,459000,5/5/24,1
15993,59,467,95000,6/15/23,CANADA,Montreal,MEKVR8,1777000,5/5/24,1
15994,67,487,97000,3/3/23,BRAZIL,Rio de Janeiro,TAAFSO,841000,5/5/24,1
15995,74,106,17000,12/11/24,FRANCE,Strasbourg,GLNXUF,1717000,5/5/24,1
15996,59,238,91000,10/23/24,CHINA,Beijing,3VYHBJ,1838000,5/5/24,1
15997,15,356,0,9/15/23,SPAIN,Madrid,0F0LBQ,1943000,5/5/24,1
15998,62,2,41000,4/11/23,JAPAN,Nagoya,IEDMD8,1520000,5/5/24,1
15999,33,133,23000,3/17/23,CANADA,Montreal,G7H1UZ,225000,5/5/24,1
16000,73,475,58000,10/19/24,FRANCE,Bordeaux,JLUUZ6,844000,5/5/24,1
16001,16,167,20000,2/19/23,FRANCE,Strasbourg,BUJ1HT,1972000,5/5/24,1
16002,26,127,36000,10/29/24,INDIA,Kolkata,ONTVST,734000,5/5/24,1
16003,25,38,33000,3/3/23,BRAZIL,Fortaleza,3XHY6F,852000,5/5/24,1
16004,23,135,75000,3/17/23,FRANCE,Paris,7GDHKQ,1411000,5/5/24,1
16005,12,73,5000,6/9/23,SPAIN,Valencia,KECQRO,601000,5/5/24,1
16006,43,115,76000,4/30/23,INDIA,Delhi,2FVHJJ,1572000,5/5/24,1
16007,18,482,70000,5/24/23,BRAZIL,Fortaleza,87I75J,939000,5/5/24,1
16008,62,82,10000,4/18/23,SPAIN,Madrid,NY3JXE,1241000,5/5/24,1
16009,14,7,83000,7/27/23,GERMANY,Hamburg,KL91EI,386000,5/5/24,1
16010,9,137,80000,11/2/23,SPAIN,Málaga,GAEV8D,1056000,5/5/24,1
16011,70,36,16000,3/25/23,GERMANY,Hamburg,8G7Q0F,1008000,5/5/24,1
16012,70,24,98000,12/27/23,ISRAEL,Haifa,J1NPS6,1041000,5/5/24,1
16013,52,481,66000,5/10/24,ISRAEL,Ramat Gan,I069FU,1813000,5/5/24,1
16014,27,154,49000,6/30/24,FRANCE,Lyon,XZ0GLQ,120000,5/5/24,1
16015,47,441,50000,2/5/24,FRANCE,Lyon,34FRK7,871000,5/5/24,1
16016,39,118,36000,12/3/24,FRANCE,Strasbourg,3XQC1B,598000,5/5/24,1
16017,21,14,56000,4/26/24,INDIA,Hyderabad,AFTG5I,419000,5/5/24,1
16018,43,339,37000,12/11/24,CHINA,Guangzhou,NFXV6I,1596000,5/5/24,1
16019,56,313,33000,3/19/24,BRAZIL,Brasília,2OM207,1867000,5/5/24,1
16020,5,329,54000,9/10/23,SPAIN,Seville,D1VMEL,349000,5/5/24,1
16021,43,491,87000,8/19/23,GERMANY,Hamburg,CYXS80,1445000,5/5/24,1
16022,48,447,38000,8/19/24,INDIA,Mumbai,8O87RV,951000,5/5/24,1
16023,68,494,9000,12/9/24,CHINA,Chengdu,2RL6L2,1541000,5/5/24,1
16024,8,129,48000,11/12/23,INDIA,Delhi,QFNEUH,1494000,5/5/24,1
16025,28,421,47000,6/12/23,FRANCE,Lyon,68JIMX,1119000,5/5/24,1
16026,56,226,51000,10/12/24,CHINA,Shanghai,7JBOS8,957000,5/5/24,1
16027,51,337,48000,2/16/24,CANADA,Toronto,0HQGKY,1844000,5/5/24,1
16028,23,152,31000,7/10/23,CHINA,Shenzhen,CXOBT9,1498000,5/5/24,1
16029,53,388,79000,10/4/23,ISRAEL,Haifa,A1EBMN,1343000,5/5/24,1
16030,31,200,4000,7/24/24,CANADA,Calgary,2H7X9Q,1613000,5/5/24,1
16031,14,404,44000,3/29/24,JAPAN,Fukuoka,J0XAOA,340000,5/5/24,1
16032,47,193,0,12/13/23,CHINA,Shanghai,U9B612,636000,5/5/24,1
16033,3,114,63000,9/24/24,SPAIN,Barcelona,NM8FOT,317000,5/5/24,1
16034,32,117,40000,10/5/23,CANADA,Calgary,B31926,143000,5/5/24,1
16035,8,7,31000,1/18/24,INDIA,Chennai,VOEYAX,778000,5/5/24,1
16036,36,110,13000,10/1/23,BRAZIL,Fortaleza,PL26DQ,139000,5/5/24,1
16037,70,116,46000,12/9/24,CANADA,Montreal,T8I6GM,1291000,5/5/24,1
16038,14,327,13000,3/10/23,GERMANY,Düsseldorf,Q9KL0G,885000,5/5/24,1
16039,65,278,29000,4/21/23,GERMANY,Düsseldorf,FL1U7L,1156000,5/5/24,1
16040,18,138,74000,6/11/23,SPAIN,Granada,K1S57Y,957000,5/5/24,1
16041,45,241,40000,9/26/24,ISRAEL,Beer Sheva,EUP71O,53000,5/5/24,1
16042,14,380,1000,9/17/23,INDIA,Hyderabad,PTZR37,12000,5/5/24,1
16043,5,250,39000,4/10/23,CANADA,Toronto,YZ5IKU,1132000,5/5/24,1
16044,5,441,39000,2/21/24,SPAIN,Barcelona,IOPB73,1251000,5/5/24,1
16045,18,171,7000,9/25/24,CANADA,Ottawa,IG55IT,1185000,5/5/24,1
16046,62,477,73000,3/24/24,SPAIN,Barcelona,GT401E,1082000,5/5/24,1
16047,49,198,41000,8/11/23,JAPAN,Sapporo,BFF5QG,308000,5/5/24,1
16048,32,376,51000,8/17/24,CHINA,Guangzhou,V1YKJD,1434000,5/5/24,1
16049,53,186,25000,12/22/24,CHINA,Beijing,L3CNPA,910000,5/5/24,1
